Object;Time;Content
Fila;6/2/2021 10:35;5
Fila;6/2/2021 10:35;6
Fila;6/2/2021 10:37;7
Fila;6/2/2021 10:37;8
Fila;6/2/2021 10:37;7
Fila;6/2/2021 10:37;6
Fila;6/2/2021 10:37;5
Fila;6/2/2021 10:38;6
Fila;6/2/2021 10:38;7
Fila;6/2/2021 10:38;6
Fila;6/2/2021 10:39;7
Fila;6/2/2021 10:39;8
Fila;6/2/2021 10:39;9
Fila;6/2/2021 10:39;8
Fila;6/2/2021 10:40;7
Fila;6/2/2021 10:40;6
Fila;6/2/2021 10:41;7
Fila;6/2/2021 10:41;8
Fila;6/2/2021 10:41;7
Fila;6/2/2021 10:41;6
Fila;6/2/2021 10:41;5
Fila;6/2/2021 10:41;4
Fila;6/2/2021 10:42;5
Fila;6/2/2021 10:42;6
Fila;6/2/2021 10:42;5
Fila;6/2/2021 10:42;4
Fila;6/2/2021 10:42;3
Fila;6/2/2021 10:43;2
Fila;6/2/2021 10:43;1
Fila;6/2/2021 10:43;0
Fila;6/2/2021 10:44;1
Fila;6/2/2021 10:44;0
Fila;6/2/2021 10:45;1
Fila;6/2/2021 10:45;0
Fila;6/2/2021 10:47;1
Fila;6/2/2021 10:47;0
Fila;6/2/2021 10:47;1
Fila;6/2/2021 10:47;0
Fila;6/2/2021 10:47;1
Fila;6/2/2021 10:47;2
Fila;6/2/2021 10:47;3
Fila;6/2/2021 10:47;4
Fila;6/2/2021 10:48;3
Fila;6/2/2021 10:48;2
Fila;6/2/2021 10:48;1
Fila;6/2/2021 10:49;0
Fila;6/2/2021 10:50;1
Fila;6/2/2021 10:50;0
Fila;6/2/2021 10:51;1
Fila;6/2/2021 10:51;0
Fila;6/2/2021 10:51;1
Fila;6/2/2021 10:51;0
Fila;6/2/2021 10:52;1
Fila;6/2/2021 10:52;0
Fila;6/2/2021 10:53;1
Fila;6/2/2021 10:53;0
Fila;6/2/2021 10:55;1
Fila;6/2/2021 10:55;0
Fila;6/2/2021 10:55;1
Fila;6/2/2021 10:55;0
Fila;6/2/2021 10:57;1
Fila;6/2/2021 10:57;0
Fila;6/2/2021 10:58;1
Fila;6/2/2021 10:58;0
Fila;6/2/2021 11:00;1
Fila;6/2/2021 11:00;0
Fila;6/2/2021 11:01;1
Fila;6/2/2021 11:01;0
Fila;6/2/2021 11:01;1
Fila;6/2/2021 11:01;0
Fila;6/2/2021 11:02;1
Fila;6/2/2021 11:02;0
Fila;6/2/2021 11:03;1
Fila;6/2/2021 11:03;0
Fila;6/2/2021 11:04;1
Fila;6/2/2021 11:04;0
